type	id	old_length	new_length
added	sp|C0H3Y2|SSCA_BACSU		28
added	sp|C0H3Y3|YHZF_BACSU		63
added	sp|C0H3Y4|YIZB_BACSU		115
added	sp|C0H3Y5|YIZC_BACSU		65
added	sp|C0H3Y6|YIZD_BACSU		55
added	sp|C0H3Y7|YJZK_BACSU		68
added	sp|C0H3Y8|YJCZ_BACSU		49
added	sp|C0H3Y9|YJZE_BACSU		84
added	sp|C0H3Z0|YJZF_BACSU		43
added	sp|C0H3Z1|YJZG_BACSU		57
added	sp|C0H3Z2|YJZH_BACSU		64
added	sp|C0H3Z3|YJZI_BACSU		62
added	sp|C0H3Z4|YJZJ_BACSU		59
added	sp|C0H3Z5|YKZK_BACSU		55
added	sp|C0H3Z6|YKZL_BACSU		127
added	sp|C0H3Z7|YKZM_BACSU		72
added	sp|C0H3Z8|XKZB_BACSU		49
added	sp|C0H3Z9|XKZA_BACSU		90
added	sp|C0H400|YKZN_BACSU		56
added	sp|C0H402|YKZP_BACSU		51
added	sp|C0H403|YKZQ_BACSU		75
added	sp|C0H404|YKZR_BACSU		83
added	sp|C0H405|YKZS_BACSU		64
added	sp|C0H406|YKZT_BACSU		53
added	sp|C0H408|YKZU_BACSU		172
added	sp|C0H409|YKZV_BACSU		52
added	sp|C0H410|YKZW_BACSU		39
added	sp|C0H411|YLZH_BACSU		61
added	sp|C0H412|SWRD_BACSU		71
added	sp|C0H413|YLZJ_BACSU		70
added	sp|C0H415|YNZI_BACSU		54
added	sp|C0H417|YNZK_BACSU		118
added	sp|C0H418|YNZL_BACSU		41
added	sp|C0H419|BLAP_BACSU		73
added	sp|C0H420|YOZS_BACSU		101
added	sp|C0H421|YOZT_BACSU		79
added	sp|C0H423|YOZV_BACSU		79
added	sp|C0H424|YOZW_BACSU		57
added	sp|C0H425|YOZX_BACSU		74
added	sp|C0H426|YOZY_BACSU		86
added	sp|C0H429|YOYB_BACSU		75
added	sp|C0H431|YOYD_BACSU		66
added	sp|C0H432|YOYE_BACSU		41
added	sp|C0H433|YOYF_BACSU		47
added	sp|C0H434|YOKU_BACSU		92
added	sp|C0H435|YOYG_BACSU		37
added	sp|C0H437|YOYH_BACSU		59
added	sp|C0H438|YOYI_BACSU		76
added	sp|C0H439|YOYJ_BACSU		83
added	sp|C0H440|YOUA_BACSU		203
added	sp|C0H443|YPZF_BACSU		48
added	sp|C0H444|YPZG_BACSU		50
added	sp|C0H445|YPZH_BACSU		64
added	sp|C0H446|YPZI_BACSU		45
added	sp|C0H447|YPZJ_BACSU		68
added	sp|C0H450|S5AEB_BACSU		116
added	sp|C0H451|YQZK_BACSU		75
added	sp|C0H452|YQZL_BACSU		47
added	sp|C0H453|YQZM_BACSU		44
added	sp|C0H454|YQZN_BACSU		63
added	sp|C0H455|YQZO_BACSU		49
added	sp|C0H458|YRZO_BACSU		47
added	sp|C0H461|YRZQ_BACSU		43
added	sp|C0H462|YRZR_BACSU		63
added	sp|C0H463|YRZS_BACSU		66
added	sp|C0H464|YRZT_BACSU		46
added	sp|C0H465|YSZA_BACSU		63
added	sp|C0SP78|MNEP_BACSU		297
added	sp|C0SP79|YTAF_BACSU		210
added	sp|C0SP80|YTES_BACSU		167
added	sp|C0SP82|YOAE_BACSU		680
added	sp|C0SP84|YTLA_BACSU		334
added	sp|C0SP85|YUKE_BACSU		97
added	sp|C0SP86|SFTA_BACSU		952
added	sp|C0SP89|YOAH_BACSU		561
added	sp|C0SP90|YTHA_BACSU		443
added	sp|C0SP91|YYCJ_BACSU		264
added	sp|C0SP93|ACCD_BACSU		290
added	sp|C0SP94|YHFQ_BACSU		323
added	sp|C0SP95|CUTJ_BACSU		541
added	sp|C0SP98|YKFD_BACSU		329
added	sp|C0SP99|YCIB_BACSU		194
added	sp|C0SPA0|PULA_BACSU		718
added	sp|C0SPA3|YLXW_BACSU		231
added	sp|C0SPA5|ADHA_BACSU		349
added	sp|C0SPA7|YUKB_BACSU		1495
added	sp|C0SPA8|YOBH_BACSU		217
added	sp|C0SPB0|YTCI_BACSU		529
added	sp|C0SPB1|YUKJ_BACSU		225
added	sp|C0SPB2|YWTG_BACSU		457
added	sp|C0SPB3|YTEP_BACSU		321
added	sp|C0SPB4|YHAQ_BACSU		298
added	sp|C0SPB5|YCLD_BACSU		154
added	sp|C0SPB6|SSBB_BACSU		113
added	sp|C0SPB8|YVAV_BACSU		177
added	sp|C0SPB9|YKON_BACSU		373
added	sp|C0SPC0|YOAI_BACSU		483
added	sp|C0SPC1|CCRZ_BACSU		269
added	sp|C0SPC3|YJHB_BACSU		208
added	sp|L8EAY0|BSRG_BACSU		38
added	sp|L8EBJ6|SSCB_BACSU		28
added	sp|L8EBJ9|MCIZ_BACSU		40
added	sp|O05213|AMIE_BACSU		441
added	sp|O05215|CHRA_BACSU		178
added	sp|O05216|CHRB_BACSU		197
added	sp|O05217|YWRC_BACSU		158
added	sp|O05218|YWRD_BACSU		525
added	sp|O05219|YWRE_BACSU		111
added	sp|O05220|YWRF_BACSU		205
added	sp|O05223|YWRJ_BACSU		225
added	sp|O05224|YWRK_BACSU		442
added	sp|O05227|MRPG_BACSU		124
added	sp|O05228|MRPF_BACSU		94
added	sp|O05229|MRPD_BACSU		493
added	sp|O05231|KAPD_BACSU		205
added	sp|O05234|YUGE_BACSU		86
added	sp|O05235|YUGF_BACSU		273
added	sp|O05236|YUGG_BACSU		166
added	sp|O05239|YUGJ_BACSU		387
added	sp|O05240|YUGK_BACSU		390
added	sp|O05241|YUGS_BACSU		429
added	sp|O05242|O16G3_BACSU		554
added	sp|O05243|YUGU_BACSU		132
added	sp|O05245|YUGM_BACSU		123
added	sp|O05246|YUGN_BACSU		134
added	sp|O05248|YUGP_BACSU		225
added	sp|O05249|YUFK_BACSU		185
added	sp|O05250|MALK_BACSU		533
added	sp|O05251|MALR_BACSU		235
added	sp|O05252|NUPN_BACSU		359
added	sp|O05253|NUPO_BACSU		510
added	sp|O05254|NUPP_BACSU		348
added	sp|O05255|NUPQ_BACSU		319
added	sp|O05256|MAEN_BACSU		448
added	sp|O05257|YUFS_BACSU		71
added	sp|O05259|MRPB_BACSU		143
added	sp|O05260|MRPC_BACSU		113
added	sp|O05261|YULB_BACSU		258
added	sp|O05262|RHAB_BACSU		485
added	sp|O05263|RHAM_BACSU		104
added	sp|O05264|RHAA_BACSU		424
added	sp|O05265|IOLU_BACSU		328
added	sp|O05267|YUMB_BACSU		406
added	sp|O05268|FENR2_BACSU		332
added	sp|O05269|GUAC_BACSU		326
added	sp|O05272|ASNO_BACSU		614
added	sp|O05389|YRBE_BACSU		341
added	sp|O05390|CSBX_BACSU		435
added	sp|O05391|BOFC_BACSU		170
added	sp|O05392|RUVA_BACSU		201
added	sp|O05393|MCCA_BACSU		307
added	sp|O05394|MCCB_BACSU		379
added	sp|O05395|YRHC_BACSU		76
added	sp|O05396|FDHD2_BACSU		160
added	sp|O05398|YRHF_BACSU		122
added	sp|O05399|YRHG_BACSU		266
added	sp|O05400|YRHH_BACSU		180
added	sp|O05401|YRHK_BACSU		96
added	sp|O05402|YRHL_BACSU		634
added	sp|O05403|RSIV_BACSU		285
added	sp|O05404|SIGV_BACSU		166
added	sp|O05405|YRHO_BACSU		275
added	sp|O05406|YRHP_BACSU		210
added	sp|O05407|YRAO_BACSU		438
added	sp|O05408|YRPG_BACSU		326
added	sp|O05409|SIGZ_BACSU		176
added	sp|O05410|YRPE_BACSU		251
added	sp|O05411|YRPD_BACSU		235
added	sp|O05412|MURI2_BACSU		265
added	sp|O05413|NMO_BACSU		347
added	sp|O05493|YDHB_BACSU		245
added	sp|O05494|YDHC_BACSU		224
added	sp|O05495|YDHD_BACSU		420
added	sp|O05496|YDHE_BACSU		395
added	sp|O05497|YDHF_BACSU		236
added	sp|O05500|YDHH_BACSU		165
added	sp|O05501|YDHI_BACSU		160
added	sp|O05502|YDHJ_BACSU		325
added	sp|O05503|YDHK_BACSU		205
added	sp|O05505|PTEB_BACSU		103
added	sp|O05506|PTEA_BACSU		110
added	sp|O05507|PTEC_BACSU		442
added	sp|O05508|GMUD_BACSU		465
added	sp|O05509|GMUR_BACSU		237
added	sp|O05510|SCRK_BACSU		299
added	sp|O05511|MANA2_BACSU		315
added	sp|O05512|MANB_BACSU		362
added	sp|O05514|THIL_BACSU		325
added	sp|O05515|TSAE_BACSU		158
added	sp|O05516|TSAB_BACSU		229
added	sp|O05517|RIMI_BACSU		151
added	sp|O05518|TSAD_BACSU		346
added	sp|O05519|YDIF_BACSU		642
added	sp|O05520|MOAC_BACSU		170
added	sp|O05521|REX_BACSU		215
added	sp|O05522|TATAY_BACSU		57
added	sp|O05523|TATCY_BACSU		254
added	sp|O05524|YDIK_BACSU		63
added	sp|O05525|YDIL_BACSU		244
added	sp|O06005|AAPA_BACSU		462
added	sp|O06006|YRAA_BACSU		169
added	sp|O06008|ADHR_BACSU		140
added	sp|O06010|YRAD_BACSU		99
added	sp|O06011|YRAE_BACSU		65
added	sp|O06012|ADHB_BACSU		378
added	sp|O06472|YFMN_BACSU		51
added	sp|O06473|YFMO_BACSU		396
added	sp|O06474|YFMP_BACSU		140
added	sp|O06475|YFMQ_BACSU		148
added	sp|O06476|YFMR_BACSU		629
added	sp|O06477|YFMS_BACSU		286
added	sp|O06478|ALDH5_BACSU		485
added	sp|O06480|YFNB_BACSU		235
added	sp|O06481|YFNC_BACSU		409
added	sp|O06483|YFNE_BACSU		392
added	sp|O06484|YFNF_BACSU		303
added	sp|O06485|YFNG_BACSU		322
added	sp|O06486|RFBF_BACSU		254
added	sp|O06489|YETM_BACSU		369
added	sp|O06490|YETN_BACSU		356
added	sp|O06491|GATA_BACSU		485
added	sp|O06492|GATC_BACSU		96
added	sp|O06493|OPUE_BACSU		492
added	sp|O06714|SBCC_BACSU		1130
added	sp|O06715|YISB_BACSU		100
added	sp|O06716|GERPF_BACSU		72
added	sp|O06717|GERPE_BACSU		133
added	sp|O06718|GERPD_BACSU		58
added	sp|O06719|GERPC_BACSU		205
added	sp|O06720|GERPB_BACSU		77
added	sp|O06721|GERPA_BACSU		73
added	sp|O06722|YISI_BACSU		56
added	sp|O06723|YISJ_BACSU		307
added	sp|O06724|YISK_BACSU		301
added	sp|O06725|YISL_BACSU		118
added	sp|O06727|YISN_BACSU		195
added	sp|O06728|YISP_BACSU		267
added	sp|O06730|YISU_BACSU		220
added	sp|O06733|YISX_BACSU		212
added	sp|O06734|YISY_BACSU		268
added	sp|O06735|CYSC2_BACSU		199
added	sp|O06736|SAT2_BACSU		389
added	sp|O06737|CYSH2_BACSU		236
added	sp|O06738|COMB_BACSU		228
added	sp|O06739|PSLS_BACSU		252
added	sp|O06740|YITE_BACSU		209
added	sp|O06741|YITF_BACSU		371
added	sp|O06743|YITH_BACSU		282
added	sp|O06744|YITI_BACSU		149
added	sp|O06745|YITJ_BACSU		612
added	sp|O06746|YITK_BACSU		163
added	sp|O06747|YITL_BACSU		298
added	sp|O06748|YITM_BACSU		194
added	sp|O06750|YITO_BACSU		309
added	sp|O06751|YITP_BACSU		178
added	sp|O06752|YITQ_BACSU		195
added	sp|O06753|YITR_BACSU		97
added	sp|O06965|YVCA_BACSU		241
added	sp|O06966|YVCB_BACSU		636
added	sp|O06967|BMRA_BACSU		589
added	sp|O06968|YVCD_BACSU		484
added	sp|O06972|YVCI_BACSU		158
added	sp|O06973|YVCJ_BACSU		295
added	sp|O06974|GNGF_BACSU		317
added	sp|O06975|WHIA_BACSU		316
added	sp|O06976|CRH_BACSU		85
added	sp|O06977|YVCN_BACSU		254
added	sp|O06978|YVCP_BACSU		237
added	sp|O06979|YVCQ_BACSU		356
added	sp|O06980|YVCR_BACSU		259
added	sp|O06981|YVCS_BACSU		646
added	sp|O06983|YVDA_BACSU		197
added	sp|O06984|YVDB_BACSU		530
added	sp|O06986|YVDD_BACSU		191
added	sp|O06987|YVDE_BACSU		316
added	sp|O06988|BBMA_BACSU		588
added	sp|O06989|MDXE_BACSU		417
added	sp|O06990|MDXF_BACSU		435
added	sp|O06991|MDXG_BACSU		278
added	sp|O06992|MALA_BACSU		294
added	sp|O06993|MALPY_BACSU		757
added	sp|O06994|O16G1_BACSU		561
added	sp|O06995|PGMB_BACSU		226
added	sp|O06996|COTR_BACSU		320
added	sp|O06997|YVDP_BACSU		447
added	sp|O06998|YVDQ_BACSU		170
added	sp|O06999|YVDR_BACSU		106
added	sp|O07001|YVDT_BACSU		194
added	sp|O07002|ASPP_BACSU		520
added	sp|O07003|LEVB_BACSU		516
added	sp|O07004|YVEF_BACSU		30
added	sp|O07005|YVEG_BACSU		156
added	sp|O07006|PADC_BACSU		161
added	sp|O07007|LUTR_BACSU		219
added	sp|O07008|GANR_BACSU		330
added	sp|O07009|GANS_BACSU		421
added	sp|O07011|GANQ_BACSU		283
added	sp|O07012|BGAL2_BACSU		672
added	sp|O07013|GANB_BACSU		429
added	sp|O07014|RSBP_BACSU		403
added	sp|O07015|RSBQ_BACSU		269
added	sp|O07016|YVFR_BACSU		301
added	sp|O07017|YVFS_BACSU		245
added	sp|O07019|YVFU_BACSU		200
added	sp|O07020|LUTA_BACSU		238
added	sp|O07021|LUTB_BACSU		479
added	sp|O07079|YRDA_BACSU		167
added	sp|O07080|YRDB_BACSU		123
added	sp|O07081|YRDC_BACSU		187
added	sp|O07084|CZCD_BACSU		311
added	sp|O07085|CZCO_BACSU		345
added	sp|O07086|YRDR_BACSU		321
added	sp|O07509|PROJ_BACSU		371
added	sp|O07513|HIT_BACSU		145
added	sp|O07515|TRPP_BACSU		172
added	sp|O07516|YHAH_BACSU		118
added	sp|O07517|YHAI_BACSU		113
added	sp|O07518|YHAJ_BACSU		172
added	sp|O07520|YHAL_BACSU		70
added	sp|O07521|YHAM_BACSU		314
added	sp|O07522|YHAO_BACSU		408
added	sp|O07523|YHAP_BACSU		419
added	sp|O07527|YHCY_BACSU		379
added	sp|O07528|YHCZ_BACSU		214
added	sp|O07529|AZR_BACSU		174
added	sp|O07530|YHDB_BACSU		80
added	sp|O07531|YHDC_BACSU		107
added	sp|O07532|LYTF_BACSU		488
added	sp|O07533|YHAR_BACSU		255
added	sp|O07534|KHTS_BACSU		112
added	sp|O07535|KHTT_BACSU		165
added	sp|O07536|KHTU_BACSU		405
added	sp|O07539|YHAX_BACSU		288
added	sp|O07541|YHAZ_BACSU		357
added	sp|O07542|YHEA_BACSU		117
added	sp|O07543|YHEB_BACSU		377
added	sp|O07544|YHEC_BACSU		363
added	sp|O07545|YHED_BACSU		453
added	sp|O07546|YHEE_BACSU		72
added	sp|O07547|YHEF_BACSU		41
added	sp|O07548|YHEG_BACSU		206
added	sp|O07549|BMRD_BACSU		673
added	sp|O07550|BMRC_BACSU		585
added	sp|O07551|YHEJ_BACSU		53
added	sp|O07552|NHAX_BACSU		166
added	sp|O07553|NHAC_BACSU		453
added	sp|O07555|YHJA_BACSU		89
added	sp|O07556|YHJB_BACSU		489
added	sp|O07557|YHJC_BACSU		66
added	sp|O07558|YHJD_BACSU		120
added	sp|O07559|YHJE_BACSU		207
added	sp|O07560|LEPV_BACSU		168
added	sp|O07561|YHJG_BACSU		499
added	sp|O07563|GLCP_BACSU		401
added	sp|O07564|NTDC_BACSU		350
added	sp|O07565|NTDB_BACSU		282
added	sp|O07566|NTDA_BACSU		441
added	sp|O07567|NTDR_BACSU		329
added	sp|O07568|YHJN_BACSU		384
added	sp|O07569|YHJO_BACSU		401
added	sp|O07570|YHJP_BACSU		575
added	sp|O07571|YHJQ_BACSU		108
added	sp|O07572|YHJR_BACSU		145
added	sp|O07573|NSRR_BACSU		146
added	sp|O07575|YHDF_BACSU		289
added	sp|O07576|BCAP_BACSU		465
added	sp|O07577|YHDH_BACSU		451
added	sp|O07578|YHDI_BACSU		469
added	sp|O07579|YHDJ_BACSU		142
added	sp|O07580|YHDK_BACSU		96
added	sp|O07581|YHDL_BACSU		358
added	sp|O07582|SIGM_BACSU		163
added	sp|O07584|PLSC_BACSU		199
added	sp|O07585|YHDP_BACSU		444
added	sp|O07586|CUER_BACSU		143
added	sp|O07587|AAT3_BACSU		393
added	sp|O07589|YHDT_BACSU		461
added	sp|O07590|FLUC1_BACSU		118
added	sp|O07591|FLUC2_BACSU		131
added	sp|O07592|YHDW_BACSU		243
added	sp|O07593|YHDX_BACSU		35
added	sp|O07594|YHDY_BACSU		371
added	sp|O07595|NPD_BACSU		247
added	sp|O07596|YHEN_BACSU		282
added	sp|O07597|DAAA_BACSU		282
added	sp|O07598|YHAA_BACSU		396
added	sp|O07599|YHFA_BACSU		463
added	sp|O07600|FABH2_BACSU		325
added	sp|O07601|YHFC_BACSU		258
added	sp|O07603|YHFE_BACSU		346
added	sp|O07604|YHFF_BACSU		135
added	sp|O07605|GLTT_BACSU		429
added	sp|O07606|YHFH_BACSU		46
added	sp|O07607|YHFI_BACSU		244
added	sp|O07608|LPLJ_BACSU		331
added	sp|O07609|YHFK_BACSU		214
added	sp|O07610|LCFB_BACSU		513
added	sp|O07611|YHFM_BACSU		131
added	sp|O07614|YHFO_BACSU		149
added	sp|O07615|YHFP_BACSU		330
added	sp|O07617|PHOE_BACSU		193
added	sp|O07618|YHFS_BACSU		364
added	sp|O07619|YHFT_BACSU		479
added	sp|O07620|BIOY_BACSU		186
added	sp|O07621|HEMAT_BACSU		432
added	sp|O07622|YHFW_BACSU		509
added	sp|O07623|SBOA_BACSU		43
added	sp|O07624|YWIB_BACSU		142
added	sp|O07625|YLAA_BACSU		646
added	sp|O07626|YLAB_BACSU		89
added	sp|O07627|YLAC_BACSU		173
added	sp|O07628|YLAD_BACSU		97
added	sp|O07629|YLAE_BACSU		203
added	sp|O07630|YLAF_BACSU		62
added	sp|O07631|BIPA_BACSU		612
added	sp|O07632|YLAH_BACSU		105
added	sp|O07633|YLAI_BACSU		69
added	sp|O07634|YLAJ_BACSU		209
added	sp|O07635|PHOH2_BACSU		442
added	sp|O07636|YLAL_BACSU		161
added	sp|O07637|GLSA2_BACSU		309
added	sp|O07638|YLAN_BACSU		93
added	sp|O07639|FTSW_BACSU		403
added	sp|O07906|YRAN_BACSU		289
added	sp|O07909|YRAI_BACSU		119
added	sp|O07917|YRAL_BACSU		87
added	sp|O07918|YRAH_BACSU		128
added	sp|O07919|YRAG_BACSU		81
added	sp|O07920|AZLB_BACSU		157
added	sp|O07921|CHIS_BACSU		277
added	sp|O07923|AZLD_BACSU		110
added	sp|O07931|YRAM_BACSU		367
added	sp|O07934|YRAJ_BACSU		118
added	sp|O07937|YRAK_BACSU		271
added	sp|O07938|YRDF_BACSU		91
added	sp|O07939|YIST_BACSU		169
added	sp|O07940|YISQ_BACSU		455
added	sp|O07942|AZLC_BACSU		254
added	sp|O07949|YRAF_BACSU		122
added	sp|O08335|FATR_BACSU		194
added	sp|O08336|CYPB_BACSU		1054
added	sp|O08394|CYPD_BACSU		1061
added	sp|O08455|YHAN_BACSU		963
added	sp|O08469|CPXY_BACSU		410
added	sp|O24817|YDZJ_BACSU		52
added	sp|O30472|YODL_BACSU		104
added	sp|O30509|GATB_BACSU		476
added	sp|O30601|YOSP_BACSU		329
added	sp|O30602|YOJW_BACSU		55
added	sp|O31398|YKWD_BACSU		257
added	sp|O31404|ACOA_BACSU		333
added	sp|O31414|YAZA_BACSU		99
added	sp|O31417|YAZB_BACSU		69
added	sp|O31418|MRNC_BACSU		143
added	sp|O31421|YBCM_BACSU		104
added	sp|O31422|SKFA_BACSU		55
added	sp|O31423|SKFB_BACSU		410
added	sp|O31425|SKFC_BACSU		496
added	sp|O31427|SKFE_BACSU		239
added	sp|O31428|SKFF_BACSU		447
added	sp|O31429|SKFG_BACSU		171
added	sp|O31430|SKFH_BACSU		141
added	sp|O31431|YBDG_BACSU		325
added	sp|O31432|YBDJ_BACSU		223
added	sp|O31433|YBDK_BACSU		320
added	sp|O31435|YBDM_BACSU		256
added	sp|O31436|YBDN_BACSU		285
added	sp|O31437|YBDO_BACSU		394
added	sp|O31440|CYPC_BACSU		417
added	sp|O31441|YBYB_BACSU		86
added	sp|O31442|YBEF_BACSU		82
added	sp|O31443|YBFA_BACSU		305
added	sp|O31444|YBFB_BACSU		416
added	sp|O31445|YBFE_BACSU		94
added	sp|O31446|YBFF_BACSU		303
added	sp|O31447|YBFG_BACSU		732
added	sp|O31448|YBFH_BACSU		306
added	sp|O31449|YBFI_BACSU		275
added	sp|O31451|YBFJ_BACSU		132
added	sp|O31452|YBFK_BACSU		296
added	sp|O31453|YBFM_BACSU		162
added	sp|O31454|YBFN_BACSU		92
added	sp|O31455|YBFO_BACSU		446
added	sp|O31456|YBFP_BACSU		295
added	sp|O31457|TRHO_BACSU		322
added	sp|O31458|GAMA_BACSU		249
added	sp|O31459|GAMR_BACSU		235
added	sp|O31460|YBGB_BACSU		91
added	sp|O31461|ILVE1_BACSU		356
added	sp|O31462|YBGF_BACSU		470
added	sp|O31463|HMT_BACSU		315
added	sp|O31464|GLNT_BACSU		478
added	sp|O31465|GLSA1_BACSU		327
added	sp|O31466|RTPA_BACSU		53
added	sp|O31467|TATAD_BACSU		70
added	sp|O31469|YCZC_BACSU		127
added	sp|O31472|YCGE_BACSU		154
added	sp|O31473|YCGI_BACSU		198
added	sp|O31474|YCGJ_BACSU		253
added	sp|O31475|FENR1_BACSU		336
added	sp|O31479|YCZF_BACSU		73
added	sp|O31480|YCZG_BACSU		104
added	sp|O31482|YCZH_BACSU		202
added	sp|O31484|YCZJ_BACSU		95
added	sp|O31485|YDZA_BACSU		96
added	sp|O31486|YDAJ_BACSU		362
added	sp|O31487|YDAL_BACSU		569
added	sp|O31488|YDAN_BACSU		703
added	sp|O31489|YDCI_BACSU		719
added	sp|O31490|XIS_BACSU		64
added	sp|O31491|YDDB_BACSU		354
added	sp|O31492|PHRI_BACSU		39
added	sp|O31493|YDZE_BACSU		78
added	sp|O31494|YDZF_BACSU		109
added	sp|O31496|YDZH_BACSU		78
added	sp|O31497|YEZC_BACSU		139
added	sp|O31498|DNLJ_BACSU		668
added	sp|O31500|YERO_BACSU		289
added	sp|O31501|SWRC_BACSU		1052
added	sp|O31502|DAGK_BACSU		303
added	sp|O31503|RLMCD_BACSU		459
added	sp|O31504|DNMA_BACSU		879
added	sp|O31505|YEZA_BACSU		68
added	sp|O31506|YEEF_BACSU		669
added	sp|O31507|YEEG_BACSU		340
added	sp|O31509|YEEI_BACSU		239
added	sp|O31510|YEEK_BACSU		145
added	sp|O31511|YESE_BACSU		147
added	sp|O31512|YESF_BACSU		286
added	sp|O31513|YESJ_BACSU		180
added	sp|O31514|YESK_BACSU		100
added	sp|O31515|YESL_BACSU		209
added	sp|O31516|YESM_BACSU		577
added	sp|O31517|YESN_BACSU		368
added	sp|O31518|YESO_BACSU		427
added	sp|O31519|YESP_BACSU		309
added	sp|O31520|YESQ_BACSU		296
added	sp|O31521|URHG1_BACSU		344
added	sp|O31522|YESS_BACSU		761
added	sp|O31523|RHGT1_BACSU		232
added	sp|O31524|YESU_BACSU		220
added	sp|O31525|YESV_BACSU		208
added	sp|O31526|YESW_BACSU		620
added	sp|O31527|YESX_BACSU		612
added	sp|O31528|RHGT2_BACSU		217
added	sp|O31529|BGAL1_BACSU		663
added	sp|O31530|YETA_BACSU		857
added	sp|O31533|YETF_BACSU		231
added	sp|O31534|HMOA_BACSU		108
added	sp|O31535|YETH_BACSU		120
added	sp|O31537|YEZB_BACSU		98
added	sp|O31538|YEZD_BACSU		55
added	sp|O31539|CALJ_BACSU		214
added	sp|O31540|YETK_BACSU		330
added	sp|O31541|YETL_BACSU		167
added	sp|O31542|YFND_BACSU		311
added	sp|O31543|YFJQ_BACSU		319
added	sp|O31544|YFJP_BACSU		287
added	sp|O31545|YFJO_BACSU		466
added	sp|O31546|DUS2_BACSU		325
added	sp|O31547|YFJM_BACSU		150
added	sp|O31550|ACOC_BACSU		398
added	sp|O31551|ACOR_BACSU		605
added	sp|O31552|SSPH_BACSU		59
added	sp|O31553|YFJF_BACSU		109
added	sp|O31554|YFJE_BACSU		152
added	sp|O31555|YFJD_BACSU		185
added	sp|O31556|YFJC_BACSU		255
added	sp|O31557|YFJB_BACSU		407
added	sp|O31558|YFJA_BACSU		104
added	sp|O31559|YFIQ_BACSU		362
added	sp|O31560|YFIR_BACSU		205
added	sp|O31561|YFIS_BACSU		417
added	sp|O31562|YFIT_BACSU		178
added	sp|O31563|YFIU_BACSU		518
added	sp|O31564|YFIV_BACSU		160
added	sp|O31567|YFIY_BACSU		325
added	sp|O31568|YFIZ_BACSU		333
added	sp|O31569|YFHA_BACSU		343
added	sp|O31570|YFHB_BACSU		293
added	sp|O31571|YFHC_BACSU		194
added	sp|O31572|YFHD_BACSU		63
added	sp|O31573|YFHE_BACSU		36
added	sp|O31574|YFHF_BACSU		303
added	sp|O31575|RECX_BACSU		264
added	sp|O31576|YFHH_BACSU		104
added	sp|O31577|YFHI_BACSU		397
added	sp|O31578|YFHJ_BACSU		89
added	sp|O31579|YFHK_BACSU		172
